t=2026-08-05T13:52:07+0700 lvl=info msg="command usage" msg="Flag --region has been deprecated, ngrok automatically chooses the region with lowest latency"
t=2026-08-05T13:52:07+0700 lvl=info msg="no configuration paths supplied"
t=2026-08-05T13:52:07+0700 lvl=info msg="using configuration at default config path" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-08-05T13:52:07+0700 lvl=info msg="open config file" path=C:\\Users\\ptn_z\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-08-05T13:52:07+0700 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-08-05T13:52:07+0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-08-05T14:04:30+0700 lvl=eror msg="session closed, starting reconnect loop" obj=tunnels.session obj=csess id=78d076e576eb err="read tcp 172.20.10.2:4984->3.123.177.80:443: wsarecv: An established connection was aborted by the software in your host machine."
t=2026-08-05T14:04:36+0700 lvl=info msg="client session established" obj=tunnels.session
t=2026-08-05T14:04:36+0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2026-08-05T14:04:39+0700 lvl=info msg="join connections" obj=join id=fa591873693b l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:39+0700 lvl=info msg="join connections" obj=join id=8ac81848ea72 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:40+0700 lvl=info msg="join connections" obj=join id=ff2b5f2c5ecf l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:40+0700 lvl=info msg="join connections" obj=join id=91c1c4819baf l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:40+0700 lvl=info msg="join connections" obj=join id=9edcafd8ed6c l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:40+0700 lvl=info msg="join connections" obj=join id=95500d419da0 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=64279fd330fb l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=c676fa2121de l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=8685d4b4234b l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=c0529db46256 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=3223f18c2cf2 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=570d0d4b10ef l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=fd4b74fe1b72 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=411fd78451c5 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:41+0700 lvl=info msg="join connections" obj=join id=06d57e1de68d l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:48+0700 lvl=eror msg="heartbeat timeout, terminating session" obj=tunnels.session obj=csess id=2ba62e32331e clientid=e387ec794de78e4dd7bec0eca44f9904
t=2026-08-05T14:04:49+0700 lvl=info msg="join connections" obj=join id=3079f6809978 l=127.0.0.1:5173 r=103.153.220.21:2972
t=2026-08-05T14:04:51+0700 lvl=info msg="join connections" obj=join id=45dec82dffcb l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:51+0700 lvl=info msg="join connections" obj=join id=62aea2880d62 l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:51+0700 lvl=info msg="join connections" obj=join id=8f4c39003d2f l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:52+0700 lvl=info msg="join connections" obj=join id=677a63b8875c l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:52+0700 lvl=info msg="join connections" obj=join id=2ab5d4ba7fde l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:52+0700 lvl=info msg="join connections" obj=join id=15c4e7e1d0b6 l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:52+0700 lvl=info msg="join connections" obj=join id=6c6835bf6978 l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:52+0700 lvl=info msg="join connections" obj=join id=e372a80f62a9 l=127.0.0.1:5173 r=103.153.220.21:2975
t=2026-08-05T14:04:54+0700 lvl=info msg="join connections" obj=join id=4ffd78995500 l=127.0.0.1:5173 r=103.153.220.21:2981
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=ac31e6eff7bb l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=49b16a4a407a l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=a30c73ee4d90 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=7d4e8234124a l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=0be9d7b52e54 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=8aa4d6df23c4 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=8617f62916ba l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=cb82d757e5d9 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:55+0700 lvl=info msg="join connections" obj=join id=5f09045ed560 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=96ac43900158 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=daa4e7968594 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=af9506c3daef l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=52783a18c408 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=ac54f3d6a5f4 l=127.0.0.1:5173 r=103.153.220.21:2982
t=2026-08-05T14:04:56+0700 lvl=info msg="join connections" obj=join id=af6c91e5237f l=127.0.0.1:5173 r=103.153.220.21:2982
